Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
BRKM5,"22,56","9,44","2,07","0,17","7,52%","0,195","1,35","1,39","-0,38","3,07","2,25","12,20%","1,45%","1,53","19,80%","21,93%","86.915.500,00","8.689.360.000,00","4,12","20,27%"
BMIN4,"12,99","9,46","0,47",0,"6,54%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","4,94%","901,98","134.104.000,00",0,"15,33%"
MRSL4,"3,05","9,48","0,91","0,816","0,00%","0,609","2,19","15,08","5,8","16,51","8,83","5,41%","8,69%","2,78","4,44%","9,63%",0,"375.151.000,00","0,16","7,10%"
MYPK4,"31,79","9,51","1,19","0,295","0,00%","0,322","1,66","4,34","-1,77","8,43","5,81","6,79%","3,66%","1,58","10,04%","12,57%",0,"4.089.830.000,00","1,52","15,32%"
SIMH3,"5,99","9,53","1,81","0,238","10,30%","0,085","0,37","1,03","-0,17","6,26","4,7","23,14%","4,83%","2,4","12,32%","19,03%","36.693.800,00","2.770.200.000,00","14,77","69,92%"
BRGE3,"10,16","9,53","0,58","187,718","0,00%","0,225","0,66","-1,08","1,58","0,93","0,94","-17313,40%","2917,14%","2,33","-35,55%","6,09%","1.405,51","1.290.420.000,00",0,"-40,27%"
SOJA3,"9,6","9,55","1,54","0,757","1,14%","0,671","2,59","9,25","3,6","9,78","9,61","8,18%","7,93%","1,58","13,47%","16,08%","2.854.760,00","732.501.000,00","0,66","70,23%"
ALUP3,"10,3","9,57","1,26","2,141","3,98%","0,331","2,77","2,8","-0,77","5,46","5,22","76,57%","40,51%","2,86","13,13%","13,16%","147.886,00","7.188.600.000,00","1,54","27,27%"
BOAS3,"4,79","9,57","1,15","2,972","1,65%","0,961","2,05","10,3","2,32","4,99","2,91","28,86%","31,05%","5,23","19,65%","12,01%","9.267.150,00","2.217.810.000,00","0,01","16,24%"
MTRE3,"3,33","9,66","0,35","0,529","9,83%","0,172","0,36","9,2","0,77","13,28","11,82","5,75%","5,93%","2,92","2,27%","3,66%","2.296.470,00","995.189.000,00","0,47","32,57%"
UGPA3,"11,79","9,68","1,2","0,099","4,94%","0,386","2,21","5,74","-2,37","9,18","7,13","1,72%","1,05%","1,53","10,37%","12,45%","112.945.000,00","10.911.400.000,00","1,26","10,48%"
BPAR3,"182,07","9,69","1,02",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","10,53%",0,"1.699.350.000,00",0,"0,72%"
CTWR3,100,"9,76","56,77","0,317","0,00%","1,141","3,79","-10,64","-142,17","-8,91","-8,91","-2,98%","3,25%","1,45","-21,86%","581,91%",0,"879.000,00","5,52","4,94%"
TGMA3,"19,6","9,8","1,76","1,022","5,72%","1,249","4,67","7,95","6,52","7,9","6,95","12,85%","10,43%","2,26","18,75%","17,93%","6.343.260,00","736.379.000,00","0,17","-1,76%"
VIVO4,"71,8","9,81","2,93","1,491","0,00%","1,282","-31,87","6,78","-5,17","7,22","7,22","22,01%","15,20%","0,89","23,92%","29,88%",0,"9.816.290.000,00","0,35","13,06%"
OFSA3,"22,19","9,81","1,65","1,211","1,07%","0,915","2,14","7,99","5,21","9,59","7,94","15,15%","12,34%","3,22","14,11%","16,81%","297.225,00","726.058.000,00","0,55","15,46%"
JSLG3,"5,35","9,92","1,1","0,269","7,01%","0,206","1,44","2,56","-0,41","8,58","5,81","10,51%","2,72%","1,87","9,24%","11,13%","3.881.510,00","1.388.340.000,00","3,07","-29,58%"
RPAD3,"7,4","9,95","0,58",0,"0,01%","0,582","10,04","-146,72","10,06","-131,39","-131,39","0,00%","0,00%","14,72","-0,42%","5,87%","1.285,09","1.072.040.000,00",0,"-31,35%"
TCSL4,"7,82","9,95","0,83","1,105","0,00%","0,475","8,93","5,69","-2,2","5,61","2,18","19,44%","11,11%","1,34","9,67%","8,33%",0,"22.847.800.000,00","0,14","2,29%"
LEVE4,"44,49","9,96","3,47","1,41","0,00%","1,817","5,93","8,31","12,32","8,5","7,44","16,96%","14,09%","1,96","27,80%","34,78%",0,"1.647.100.000,00","0,25","13,37%"
CGAS5,"129,71","10,03","10,33","1,045","11,78%","1,327","8,19","6,18","-2,91","8,06","6,86","16,92%","10,42%","1,64","28,46%","103,02%","459.148,00","1.663.730.000,00","4,04","22,78%"
BPAN4,"5,59","10,05","0,94",0,"4,06%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","9,32%","27.450.500,00","7.791.630.000,00",0,"17,48%"
RECV3,"28,19","10,11","2,25","3,324","2,67%","1,264","7,56","7,71","-18,9","6,57","5,09","43,10%","32,88%","1,82","24,53%","22,25%","77.653.900,00","3.671.860.000,00","0,18","0,00%"
BRKM3,"24,18","10,12","2,22","0,182","7,02%","0,209","1,45","1,49","-0,41","3,17","2,33","12,20%","1,45%","1,53","19,80%","21,93%","488.392,00","8.689.360.000,00","4,12","20,27%"
MRSL3,"3,3","10,25","0,99","0,883","0,00%","0,658","2,37","16,32","6,28","17,74","9,5","5,41%","8,69%","2,78","4,44%","9,63%",0,"375.151.000,00","0,16","7,10%"
TRFO3,"4,53","10,32","2,58","0,804","0,00%","1,039","4,65","5,52","7,37","5,12","5,12","14,58%","7,80%","1,43","27,63%","25,01%",0,"76.165.000,00","0,26","16,47%"
BESP3,330,"10,38","2,47",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","23,77%",0,"5.183.100.000,00",0,"1,83%"
EQPA3,"6,5","10,38","3,3","1,662","13,59%","1,13","8,53","6,13","-3,92","7,12","6,11","27,08%","16,01%","1,56","23,78%","31,80%","186.890,00","4.349.990.000,00","0,97","13,06%"
CEED3,"38,9","10,39","-0,96","0,578","0,00%","0,427","1.113,66","5,53","-0,38","9,81","7,3","10,44%","5,56%",1,"9,39%","-9,22%","8.625,12","-2.772.020.000,00","-0,95","68,24%"
TCOC4,"27,2","10,43","1,26","1,558","0,00%","0,915","2,65","10,14","3,07","7,89","7,89","15,37%","14,93%","2,53","13,98%","12,06%",0,"2.812.920.000,00","0,04","16,71%"
CMIG3,"17,35","10,47","1,81","1,093","7,95%","0,701","12,19","7,84","-2,04","9,19","7,43","13,95%","10,45%","1,27","10,37%","17,31%","7.890.060,00","21.073.900.000,00","0,54","10,93%"
TRIS3,"3,23","10,48","0,48","0,829","6,80%","0,262","0,56","6,11","1,38","10,7","10,54","13,57%","8,26%","3,93","4,88%","4,60%","4.527.240,00","1.250.420.000,00","0,54","8,54%"
PCAR5,"67,12","10,61","1,34","0,398","0,00%","0,417","20,55","5,66","-1,33","6,91","4,36","7,03%","4,17%","1,07","9,74%","12,60%",0,"13.539.000.000,00","0,58","-7,90%"
BTTL3,"20,19","10,68","7,92","0,546","0,00%","1,535","19,75","9,55","-5,67","9,95","7,79","5,71%","5,11%","1,17","22,56%","74,12%","395.854,00","37.891.000,00","1,12","39,72%"
TRFO4,"4,7","10,7","2,68","0,835","0,00%","1,078","4,82","5,73","7,65","5,33","5,33","14,58%","7,80%","1,43","27,63%","25,01%",0,"76.165.000,00","0,26","16,47%"
SMLS3,"22,4","10,78","4,09","4,212","0,00%","1,017","18,78","10,37","-6,72","10,13","9,06","40,62%","39,07%","1,1","10,69%","37,96%",0,"679.678.000,00",0,"-22,20%"
FIQE3,"3,6","10,8","1,31","2,065","2,32%","0,686","3,33","8,13","-9,34","6,65","3,47","25,39%","19,13%","2,05","13,22%","12,14%","2.050.450,00","994.630.000,00","0,38","0,00%"
MILS3,"9,32","10,8","1,91","2,332","2,81%","1,16","4,5","8,03","240,75","8,53","5,39","29,04%","21,59%","2,87","19,24%","17,66%","14.375.900,00","1.203.750.000,00","0,46","38,65%"
BRGE5,"11,53","10,81","0,66","213,03","0,00%","0,255","0,75","-1,23","1,79","0,79","0,8","-17313,40%","2917,14%","2,33","-35,55%","6,09%","442,33","1.290.420.000,00",0,"-40,27%"
BESP4,344,"10,82","2,57",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","23,77%",0,"5.183.100.000,00",0,"1,83%"
ODPV3,"8,48","10,85",4,"2,573","3,23%","2,266","-33,62","7,62","-17,18","7,05","6,45","33,77%","23,65%","0,82","36,27%","36,85%","23.130.200,00","1.206.080.000,00",0,"4,32%"
AESL4,"10.081,90","10,9","2,94","1,084","0,00%","0,726","734,54","5,03","-1,28","7,68","7,68","21,55%","9,95%","1,01","15,84%","26,94%",0,"3.864.440.000,00","1,7","28,22%"
AESL3,"10.081,90","10,9","2,94","1,084","0,00%","0,726","734,54","5,03","-1,28","7,68","7,68","21,55%","9,95%","1,01","15,84%","26,94%",0,"3.864.440.000,00","1,7","28,22%"
APTI4,"3.500,00","10,98","0,27","1,781","0,00%","0,131","0,37","16,64","-1,2","11,25","7,53","10,70%","14,61%","6,73","0,91%","2,49%",0,"243.433.000,00","0,2","4,48%"
VIVT3,"36,86","11,05","0,89","1,318","9,26%","0,505","-16,74","10,88","-1,92","13,29","4,16","12,12%","11,86%","0,85","5,23%","8,10%","118.836.000,00","69.092.700.000,00","0,29","1,49%"
GRNL4,470,"11,09","1,07","7,231","0,00%","0,975","8,04","-64,72","15,01","-63,22","-63,22","-11,17%","65,19%","4,35","-1,65%","9,69%",0,"93.104.000,00","0,05","21,48%"
ELUM3,36,"11,12","1,5","0,94","0,00%","0,886","2,31","14,76","2,51","10,02","10,02","6,37%","8,46%","2,02","9,40%","13,47%",0,"443.231.000,00","0,08","8,40%"
BPAC11,"20,75","11,12","1,88",0,"2,55%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","16,93%","403.593.000,00","42.262.000.000,00",0,"45,70%"
RIPI3,"48,01","11,23","-28,94","-7,449","0,00%","7,092","-59,55","-8,79","-16,76","-9,31","-9,31","84,70%","-66,31%","0,87","-99,10%","-257,61%",0,"-49.103.000,00","-2,44","5,82%"
CZLT33,"29,23","11,24","1,39","0,526","0,00%","0,145","1,87","3,1","-0,29","10,26","4,03","16,97%","9,14%","1,58","5,31%","12,36%",0,"5.691.680.000,00","3,93","7,88%"
MRSA6B,"23,06","11,26","1,43","1,511","2,23%","0,54","-81,28","5,27","-1,19","7,3","4,18","28,67%","13,42%","0,96","11,79%","12,71%","107,28","5.477.760.000,00","0,82","9,74%"
MRSA5B,"23,06","11,26","1,43","1,511","2,23%","0,54","-81,28","5,27","-1,19","7,3","4,18","28,67%","13,42%","0,96","11,79%","12,71%","118,74","5.477.760.000,00","0,82","9,74%"
MRSA6B,"23,06","11,26","1,43","1,511","2,23%","0,54","-81,28","5,27","-1,19","7,3","4,18","28,67%","13,42%","0,96","11,79%","12,71%","107,28","5.477.760.000,00","0,82","9,74%"
MRSA5B,"23,06","11,26","1,43","1,511","2,23%","0,54","-81,28","5,27","-1,19","7,3","4,18","28,67%","13,42%","0,96","11,79%","12,71%","118,74","5.477.760.000,00","0,82","9,74%"
BRGE6,"12,01","11,26","0,69","221,899","6,30%","0,265","0,78","-1,28","1,87","0,73","0,74","-17313,40%","2917,14%","2,33","-35,55%","6,09%","144,4","1.290.420.000,00",0,"-40,27%"
RIPI4,"48,5","11,35","-29,24","-7,525","0,00%","7,164","-60,16","-8,88","-16,93","-9,4","-9,4","84,70%","-66,31%","0,87","-99,10%","-257,61%",0,"-49.103.000,00","-2,44","5,82%"
PCAR4,"72,11","11,4","1,44","0,427","0,00%","0,448","22,08","6,08","-1,43","7,33","4,63","7,03%","4,17%","1,07","9,74%","12,60%",0,"13.539.000.000,00","0,58","-7,90%"
MEGA3,"9,08","11,41","1,24","2,647","0,00%","0,33","-43,16","12,87","-0,59","29,59",16,"20,57%","23,20%","0,96","2,88%","10,88%","17.635.300,00","4.167.020.000,00","1,97","0,00%"
BSLI4,"13,39","11,41","2,28",0,"8,60%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","19,98%","5.703,14","2.131.890.000,00",0,"0,02%"
ENGI3,"13,15","11,43","2,3","0,983","4,74%","0,449","9,49","4,4","-0,86","7,98","6,59","22,35%","9,63%","1,22","11,73%","20,11%","76.286,00","11.665.100.000,00","2,37","15,68%"
EBCO4,1,"11,46","0,8","0,33","0,00%","0,351","50,21","8,51","-14,31","8,26","8,26","3,88%","2,90%","1,01","5,04%","7,00%",0,"828.097.000,00","0,02","6,09%"
TEMP3,"4,15","11,64","4,92","0,98","0,00%","2,014","9,98","10,6","19,39","9,55","7,74","9,25%","8,42%","1,41","34,49%","42,27%",0,"135.736.000,00","0,23","-13,11%"
BRML3,"7,7","11,76","0,58","4,667","0,70%","0,348","7,71","7,23","-1,15","9,71","9,01","64,57%","44,36%","2,1","5,16%","4,90%","115.236.000,00","11.071.900.000,00","0,31","0,38%"
NAFG3,"64,37","11,8","2,76","1,102","0,00%","1,153","3,2","7,35","60,48","8,64","6,57","14,99%","9,28%","2,52","19,92%","23,42%",0,"316.392.000,00","0,81","9,49%"
NAFG4,"64,42","11,81","2,76","1,103","0,00%","1,154","3,2","7,36","60,52","8,65","6,57","14,99%","9,28%","2,52","19,92%","23,42%",0,"316.392.000,00","0,81","9,49%"
BBSE3,"32,33","11,83","6,83",0,"6,07%","4,641",0,"10,09",0,0,0,"0,00%","0,00%",0,"0,00%","57,76%","228.007.000,00","9.460.890.000,00",0,"0,00%"
FIBR3,"66,3","12,03","2,59","2,01","7,59%","0,899","9,59","5,13","-2,54","7,17","5,29","39,18%","16,75%","1,46","22,95%","21,57%",0,"14.149.000.000,00","1,46","22,71%"
EBCO3,"1,05","12,03","0,84","0,346","0,00%","0,368","52,72","8,94","-15,02","8,68","8,68","3,88%","2,90%","1,01","5,04%","7,00%",0,"828.097.000,00","0,02","6,09%"
SBSP3,"53,78","12,07","1,34","1,735","1,75%","0,656","15,97","8,27","-1,71","11,73","7,62","20,97%","14,38%","1,48","8,50%","11,14%","284.600.000,00","27.355.300.000,00","0,69","7,51%"
VITT3,"12,06","12,12","2,6","1,933","1,08%","1,791","5,17","9,88","4,87","10,93","10,14","19,58%","15,80%","2,06","20,54%","21,45%","2.839.680,00","663.557.000,00","0,4","26,33%"
GMAT3,"5,21","12,14","1,61","0,571","0,00%","0,929","2,03","10,07","4,22","12,22","9,6","5,68%","4,78%","3,57","11,15%","13,26%","51.815.000,00","7.148.330.000,00","0,44","33,58%"
DIRR3,"14,35","12,2","1,58","1,017","3,28%","0,347","0,88","5,4","-1,54","6,22","5,47","18,86%","11,58%","3,92","8,10%","13,00%","41.209.300,00","1.358.120.000,00","1,11","19,27%"
MPLU3,"26,8","12,2","17,37","6,877","0,00%","2,676","50,65","10,34","66,01","7,71","7,28","66,52%","56,37%","1,06","129,57%","142,40%",0,"250.279.000,00",0,"-18,88%"
PSSA3,"21,12","12,28","1,37","0,525","5,49%","0,279","6,5","0,63","-1,82","0,17","0,17","83,42%","4,29%","1,07","55,66%","11,17%","56.546.400,00","9.953.770.000,00",0,"9,52%"
EQPA7,"7,7","12,3","3,91","1,968","11,47%","1,338","10,1","7,27","-4,64","8,25","7,08","27,08%","16,01%","1,56","23,78%","31,80%","116,74","4.349.990.000,00","0,97","13,06%"
JOPA4,"37,5","12,34","0,69","0,182","2,43%","0,159","0,44","3,34","3,21","8,68","7,62","5,46%","1,79%","1,93","7,34%","5,63%","432,56","571.085.000,00","2,35","20,03%"
GUAR3,"6,29","12,35","0,61","0,376","8,75%","0,227","1,15","10,55","-5,23","18,21","6,12","3,56%","3,04%","1,51","2,51%","4,93%","13.956.200,00","5.158.500.000,00","0,68","2,65%"
AMPI3,55,"12,41","2,74","0,247","0,00%","0,177","5,68","0,98","-0,68","1,99","1,73","25,18%","15,11%","1,12","21,22%","22,09%",0,"240.799.000,00","4,48","14,12%"
BRKM6,"29,69","12,42","2,72","0,224","0,00%","0,257","1,77","1,84","-0,5","3,51","2,58","12,20%","1,45%","1,53","19,80%","21,93%","5.758,37","8.689.360.000,00","4,12","20,27%"
HAGA3,"3,77","12,54","-0,71","1,571","0,00%","0,757","2,16","-13,45","-0,62","-10,18","-18,7","-11,68%","12,53%","1,72","-16,44%","-5,70%","74.297,40","-62.754.000,00","-0,43","12,08%"
WHRL3,"4,52","12,55","2,78","0,621","4,14%","0,839","13,15","8,8","-474,71","8,19","6,73","7,06%","4,97%","1,1","21,38%","22,16%","16.881,80","2.443.420.000,00","0,33","14,47%"
TMGC7,"800,01","12,68","1,63","1,164","0,00%","1,12","6,77","17,85","11,96","16,52","16,52","6,52%","9,18%","1,69","8,73%","12,83%",0,"1.167.010.000,00","0,05","10,49%"
EQTL3,"26,23","12,68","1,82","1,086","2,44%","0,418","4,61","4,77","-0,86","8,53","7,21","22,77%","10,18%","1,54","10,32%","14,34%","208.021.000,00","16.283.100.000,00","1,91","25,49%"
MRSA3B,26,"12,7","1,61","1,703","0,00%","0,609","-91,64","5,94","-1,34","7,97","4,56","28,67%","13,42%","0,96","11,79%","12,71%","118,61","5.477.760.000,00","0,82","9,74%"
MRSA3B,26,"12,7","1,61","1,703","0,00%","0,609","-91,64","5,94","-1,34","7,97","4,56","28,67%","13,42%","0,96","11,79%","12,71%","118,61","5.477.760.000,00","0,82","9,74%"
CRFB3,"14,14","12,77","1,49","0,313","2,39%","0,363","-14,99","6,94","-1,17","11,17","8,24","4,52%","2,70%","0,95","6,43%","11,65%","108.622.000,00","19.994.000.000,00","1,04","15,58%"
AVIL3,"0,93","12,97","4,16","2,338","0,00%","2,227","3,89",10,"9,02","9,4","9,4","23,38%","18,01%","5,14","40,99%","32,03%",0,"1.106.590.000,00","0,52","1,74%"
DXTG4,"3,68","13,02","1,32","0,675","0,00%","0,689","2,44","6,26","7,48","6,33","6,33","10,78%","6,60%","2,77","12,31%","10,10%",0,"768.999.000,00","0,04","8,30%"
SFSA4,"4,4","13,1","0,82",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","6,25%",0,"739.524.000,00",0,"0,15%"
VULC4,18,"13,13","2,75","1,829","0,00%","1,863","4,41","11,49","5,23","11,88","9,84","15,92%","13,93%","2,65","19,04%","20,91%",0,"1.610.780.000,00","0,22","17,67%"
BGIP3,"26,4","13,13","0,69",0,"3,78%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","5,28%","308,77","582.335.000,00",0,"0,15%"
GETI3,"14,45","13,19","3,44","1,916","0,00%","1,314","-15,63","6,98","-3,19","8,2","6,76","27,43%","14,52%","0,71","22,70%","26,09%",0,"1.601.130.000,00","0,86","13,39%"
GETI4,"14,46","13,2","3,44","1,917","0,00%","1,315","-15,64","6,99","-3,2","8,2","6,76","27,43%","14,52%","0,71","22,70%","26,09%",0,"1.601.130.000,00","0,86","13,39%"
EQPA5,"8,3","13,25","4,22","2,122","10,64%","1,443","10,89","7,83",-5,"8,82","7,56","27,08%","16,01%","1,56","23,78%","31,80%","148,51","4.349.990.000,00","0,97","13,06%"
GGPS3,"10,75","13,38","2,87","0,832","0,00%","0,96","4,1","9,22","-5,7","9,96","8,02","9,02%","5,28%","1,89","12,80%","21,42%","23.269.500,00","2.510.920.000,00","0,74","0,00%"
RGEG3,3,"13,42","1,6","0,77","0,00%","0,609","-98,28","6,23","-1,76","10,04","11,7","12,36%","5,74%","0,98","11,69%","11,90%",0,"1.915.180.000,00","1,15","10,09%"
TUPY4,"48,21","13,52","2,24","0,721","0,00%","0,775","1,83","7,8","32,81","9,54","6,76","9,23%","5,26%","2,66","15,53%","16,55%",0,"3.107.290.000,00","1,13","18,27%"
VIVT4,"45,34","13,59","1,1","1,622","0,00%","0,621","-20,59","13,38","-2,37","15,79","4,95","12,12%","11,86%","0,85","5,23%","8,10%",0,"69.092.700.000,00","0,29","1,49%"
BSLI3,16,"13,64","2,72",0,"6,54%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","19,98%","967,05","2.131.890.000,00",0,"0,02%"
PATI3,"42,86","13,7","1,13","0,412","6,79%","0,497","0,93","11,98","1,74","12,24","10,88","3,44%","3,01%","2,74","8,01%","8,23%","1.427,42","910.125.000,00","0,75","30,67%"
BLAU3,"24,05","13,76","2,45","3,104","2,80%","1,768","3,34","10,18","4,19","9,13","8,66","30,48%","22,38%","4,07","28,08%","17,82%","10.212.700,00","1.759.860.000,00","0,18","13,52%"
WHRL4,"4,96","13,77","3,05","0,682","4,15%","0,921","14,43","9,66","-520,92","9,04","7,43","7,06%","4,97%","1,1","21,38%","22,16%","38.645,50","2.443.420.000,00","0,33","14,47%"
VIVA3,"19,35","13,84","2,88","2,451","1,70%","1,706","4,71","13,38","11,31","13,46","10,31","18,31%","17,71%","2,83","14,96%","20,84%","33.510.800,00","1.584.370.000,00","0,15","36,99%"
TIMS3,"12,28","13,84","1,18","1,45","5,06%","0,544","-30,17","8,6","-1,48","8,91","3,12","16,85%","10,47%","0,9","7,38%","8,49%","118.452.000,00","25.295.800.000,00","0,19","9,26%"
FRAS3,"9,87","13,9","1,48","0,889","2,64%","0,71","1,75","6,93","7,2","6,71","5,16","12,84%","6,34%","2,92","16,20%","10,66%","5.719.940,00","1.798.950.000,00","0,52","32,16%"
ARCE3,54,"14,01","2,6","2,461","0,00%","1,726","11,33","8,89","102,03","9,07","9,07","27,70%","19,46%","1,97","22,04%","18,59%",0,"13.495.400.000,00","0,17","48,47%"
ENMT4,"77,9","14,08","5,02","2,286","4,54%","1,456","28,97","8,72","-3,37","10,81","9,63","26,22%","16,24%","1,22","18,38%","35,68%","19.748,50","3.395.870.000,00","1,39","16,06%"
ENMT3,"77,99","14,09","5,03","2,289","4,54%","1,457",29,"8,73","-3,38","10,82","9,64","26,22%","16,24%","1,22","18,38%","35,68%","31.313,70","3.395.870.000,00","1,39","16,06%"
BMIN3,"19,5","14,21","0,7",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","4,94%","45,35","134.104.000,00",0,"15,33%"
STBP3,"6,92","14,22","2,79","3,135","13,06%","1,205","11,52","11,06","-3,35","10,26","7,28","28,35%","22,04%","1,99","13,23%","19,64%","38.211.100,00","2.139.970.000,00","0,15","20,03%"
TMGC11,900,"14,26","1,83","1,309","0,00%","1,26","7,62","20,08","13,46","18,75","18,75","6,52%","9,18%","1,69","8,73%","12,83%",0,"1.167.010.000,00","0,05","10,49%"
BMOB3,"13,8","14,36","1,18","0,885","1,47%","0,899","1,99","12,6","2,24","7,11","4,37","7,02%","6,16%","3,42","13,68%","8,21%","8.438.790,00","1.063.710.000,00",0,"374,27%"
TNCP4,"182,6","14,42","2,49","3,091","0,00%","1,696","52,65","11,85","-22,3","11,88","8,72","26,08%","21,44%","1,15","16,48%","17,29%",0,"13.081.500.000,00","0,09","97,79%"
GEPA3,23,"14,59","1,05","1,605","5,82%","0,578","-4,74","6,18","-1,63","8,41","5,49","25,97%","11,00%","0,44","11,25%","7,22%","8.902,88","2.063.530.000,00","0,46","-0,39%"
TNCP3,"184,85","14,59","2,52","3,129","0,00%","1,717","53,3",12,"-22,58","12,03","8,83","26,08%","21,44%","1,15","16,48%","17,29%",0,"13.081.500.000,00","0,09","97,79%"
ALSO3,"15,91","14,65","0,61","3,902","2,41%","0,343","1,77","7,39","-3,68","2,79","2,1","52,82%","32,09%","3,98","5,93%","4,17%","36.798.600,00","6.924.050.000,00",0,"31,65%"
KSSA3,"5,33","14,66","1,4","0,916","0,00%","0,406","1,72","5,62","6,73","12,3","12,3","16,31%","8,42%","1,47","7,67%","9,58%",0,"553.026.000,00","1,8","40,68%"
ELUM4,"47,9","14,79","1,99","1,251","0,00%","1,178","3,07","19,64","3,34","14,9","14,9","6,37%","8,46%","2,02","9,40%","13,47%",0,"443.231.000,00","0,08","8,40%"
TCOC3,"38,85","14,9","1,8","2,225","0,00%","1,307","3,78","14,48","4,39","12,23","12,23","15,37%","14,93%","2,53","13,98%","12,06%",0,"2.812.920.000,00","0,04","16,71%"
PINE4,"1,6","14,97","0,35",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","2,32%","240.984,00","857.607.000,00",0,"17,29%"
CRPG3,55,"15,07","1,75","1,749","10,16%","1,36","2,94","17,37","3,8","15,68","11,62","10,07%","11,61%","4,91","9,69%","11,62%","127,91","911.266.000,00","0,01","12,63%"
RDCD3,"35,16","15,07","14,74","7,936","0,00%","0,925","21,14","13,4","22,7","14,25","14,26","59,23%","52,65%","1,05","6,97%","97,78%",0,"1.605.520.000,00","1,04","12,16%"
DOHL4,"4,33","15,18","0,46","0,511","3,05%","0,339","0,79","32,07","1,27","36,94","13,69","1,59%","3,37%","5,08","1,14%","3,05%","12.431,10","708.641.000,00","0,13","9,60%"
TMGC13,"966,14","15,31","1,96","1,406","0,00%","1,353","8,18","21,56","14,45","20,23","20,23","6,52%","9,18%","1,69","8,73%","12,83%",0,"1.167.010.000,00","0,05","10,49%"
BEMA3,"10,8","15,32","1,22","1,293","0,00%","0,808","3,18","14,34","11,45","14,43","8,11","9,01%","8,44%","2,66","6,96%","7,95%",0,"457.342.000,00","0,19","10,58%"
PORT3,"9,85","15,4","1,82","1,563","4,52%","0,742","29,15","6,21","-1,71","9,73","7,1","25,18%","10,64%","1,19","12,97%","11,82%","3.495.750,00","2.379.580.000,00","1,18","0,00%"
TFCO4,"9,4","15,51","4,72","2,813","1,35%","2,904","5,77","12,49","8,56","12,79","12,26","22,51%","18,14%","3,27","28,26%","30,45%","2.434.380,00","317.938.000,00","0,28","31,97%"
VVEO3,"15,2","15,63","1,9","0,562","2,67%","0,527","1,78","8,8","-3,62","11,89","9,16","6,39%","3,59%","2,05","8,88%","12,13%","5.327.490,00","2.292.800.000,00","1,3","0,00%"
LREN3,"19,44","15,72","1,97","1,467","3,14%","0,926","3,28","6,84","8,98","6,49","4,76","21,45%","9,33%","1,8","18,82%","12,52%","406.840.000,00","9.790.800.000,00","0,35","10,91%"
ILMD3,29,"15,73","2,63","0,683","0,00%","1,395","5,7","14,13","7,53","13,13","13,13","4,84%","4,92%","1,6","12,52%","16,69%",0,"658.715.000,00","0,02","0,65%"
PARD3,"20,62","15,77","2,82","1,305","2,47%","1,131","322,95","8,33","-3,82","8,88","6,16","15,67%","8,30%","1,01","15,87%","17,88%","14.207.900,00","957.428.000,00","0,34","16,51%"
CRTP5,"62,1","15,98","1,71","1,748","0,00%","1,127","3,98","14,09","5,88","12,48","12,48","12,40%","10,94%","2,14","12,36%","10,68%",0,"1.210.570.000,00","0,12","10,11%"
DESK3,"8,49","15,98","0,8","1,164","522,45%","0,306","9,04","4,67","-0,71","8,3","5,07","24,94%","8,53%","1,23","7,70%","5,03%","1.952.540,00","920.907.000,00","0,95","0,00%"
PNVL3,"9,12","16,06","1,26","0,361","2,07%","0,534","2,2","13,07","-29,55","20,07","7,27","2,76%","2,25%","1,77","5,16%","7,83%","5.597.110,00","1.091.000.000,00","0,82","12,38%"
B3SA3,"11,36","16,06","3,39","6,93","5,24%","1,421","9,74","12,35","-7,04","11,56","9,73","56,12%","43,15%","1,62","17,60%","21,13%","809.337.000,00","20.417.500.000,00","0,6","23,92%"
ILMD4,30,"16,28","2,72","0,707","0,00%","1,443","5,89","14,62","7,79","13,62","13,62","4,84%","4,92%","1,6","12,52%","16,69%",0,"658.715.000,00","0,02","0,65%"
EGIE3,"36,98","16,31","3,75","2,607","7,62%","0,76","15,62","5,27","-1,36","7,87","6,61","49,46%","16,00%","1,26","16,19%","23,00%","77.701.400,00","8.044.930.000,00","2,32","10,27%"
MULT3,"20,24","16,35","1,86","7,02","4,50%","1,107","87,87","11,29","-4,67","13,04","10,89","62,16%","42,95%","1,08","11,09%","11,37%","141.624.000,00","6.543.650.000,00","0,46","6,28%"
